date,is_weekend,miles
2022-06-21,False,26
2022-06-22,False,36
2022-06-23,False,25
2022-06-24,False,28
2022-06-25,False,36
2022-06-26,True,3
2022-06-27,False,30
2022-06-28,False,37
2022-06-29,False,31
2022-06-30,False,40
2022-07-01,False,18
2022-07-02,False,28
2022-07-03,True,13
2022-07-04,False,24
2022-07-05,False,21
2022-07-06,False,24
2022-07-07,False,37
2022-07-08,False,20
2022-07-09,False,36
2022-07-10,True,2
2022-07-11,False,24
2022-07-12,False,38
2022-07-13,False,29
2022-07-14,False,40
2022-07-15,False,18
2022-07-16,False,22
2022-07-17,True,8
2022-07-18,False,27
2022-07-19,False,20
2022-07-20,False,19
2022-07-21,False,30
2022-07-22,False,33
2022-07-23,False,40
2022-07-24,True,13
2022-07-25,False,41
2022-07-26,False,30
2022-07-27,False,23
2022-07-28,False,24
2022-07-29,False,19
2022-07-30,False,28
2022-07-31,True,12
2022-08-01,False,24
2022-08-02,False,24
2022-08-03,False,24
2022-08-04,False,148
2022-08-05,False,36
2022-08-06,False,39
2022-08-07,True,0
2022-08-08,False,36
2022-08-09,False,37
2022-08-10,False,20
2022-08-11,False,30
2022-08-12,False,27
2022-08-13,False,37
2022-08-14,True,12
2022-08-15,False,23
2022-08-16,False,38
2022-08-17,False,39
2022-08-18,False,29
2022-08-19,False,19
2022-08-20,False,29
2022-08-21,True,8
2022-08-22,False,30
2022-08-23,False,33
2022-08-24,False,30
2022-08-25,False,39
2022-08-26,False,36
2022-08-27,False,31
2022-08-28,True,5
2022-08-29,False,89
2022-08-30,False,39
2022-08-31,False,24
2022-09-01,False,22
2022-09-02,False,34
2022-09-03,False,26
2022-09-04,True,8
2022-09-05,False,33
2022-09-06,False,23
2022-09-07,False,23
2022-09-08,False,35
2022-09-09,False,18
2022-09-10,False,34
2022-09-11,True,6
2022-09-12,False,18
2022-09-13,False,28
2022-09-14,False,30
2022-09-15,False,18
2022-09-16,False,25
2022-09-17,False,40
2022-09-18,True,3
2022-09-19,False,23
2022-09-20,False,22
2022-09-21,False,37
2022-09-22,False,22
2022-09-23,False,23
2022-09-24,False,30
2022-09-25,True,13
2022-09-26,False,37
2022-09-27,False,30
2022-09-28,False,24
2022-09-29,False,25
2022-09-30,False,38
2022-10-01,False,34
2022-10-02,True,4
2022-10-03,False,41
2022-10-04,False,33
2022-10-05,False,28
2022-10-06,False,21
2022-10-07,False,21
2022-10-08,False,34
2022-10-09,True,8
2022-10-10,False,27
2022-10-11,False,38
2022-10-12,False,38
2022-10-13,False,23
2022-10-14,False,34
2022-10-15,False,35
2022-10-16,True,3
2022-10-17,False,27
2022-10-18,False,30
2022-10-19,False,33
2022-10-20,False,24
2022-10-21,False,32
2022-10-22,False,19
2022-10-23,True,7
2022-10-24,False,34
2022-10-25,False,22
2022-10-26,False,25
2022-10-27,False,41
2022-10-28,False,32
2022-10-29,False,25
2022-10-30,True,10
2022-10-31,False,20
2022-11-01,False,40
2022-11-02,False,34
2022-11-03,False,33
2022-11-04,False,33
2022-11-05,False,36
2022-11-06,True,13
2022-11-07,False,41
2022-11-08,False,32
2022-11-09,False,25
2022-11-10,False,20
2022-11-11,False,40
2022-11-12,False,35
2022-11-13,True,2
2022-11-14,False,25
2022-11-15,False,31
2022-11-16,False,34
2022-11-17,False,23
2022-11-18,False,22
2022-11-19,False,39
2022-11-20,True,0
2022-11-21,False,23
2022-11-22,False,37
2022-11-23,False,29
2022-11-24,False,26
2022-11-25,False,18
2022-11-26,False,35
2022-11-27,True,0
2022-11-28,False,22
2022-11-29,False,19
2022-11-30,False,23
2022-12-01,False,34
2022-12-02,False,24
2022-12-03,False,26
2022-12-04,True,3
2022-12-05,False,37
2022-12-06,False,22
2022-12-07,False,38
2022-12-08,False,28
2022-12-09,False,28
2022-12-10,False,21
2022-12-11,True,9
2022-12-12,False,23
2022-12-13,False,27
2022-12-14,False,26
2022-12-15,False,35
2022-12-16,False,37
2022-12-17,False,26
2022-12-18,True,13
2022-12-19,False,19
2022-12-20,False,32
2022-12-21,False,23
2022-12-22,False,34
2022-12-23,False,21
2022-12-24,False,25
2022-12-25,True,13
2022-12-26,False,41
2022-12-27,False,26
2022-12-28,False,18
2022-12-29,False,41
2022-12-30,False,23
2022-12-31,False,33
2023-01-01,True,13
2023-01-02,False,41
2023-01-03,False,33
2023-01-04,False,23
2023-01-05,False,57
2023-01-06,False,35
2023-01-07,False,34
2023-01-08,True,6
2023-01-09,False,29
2023-01-10,False,32
2023-01-11,False,23
2023-01-12,False,40
2023-01-13,False,37
2023-01-14,False,33
2023-01-15,True,11
2023-01-16,False,31
2023-01-17,False,29
2023-01-18,False,29
2023-01-19,False,19
2023-01-20,False,25
2023-01-21,False,41
2023-01-22,True,9
2023-01-23,False,25
2023-01-24,False,33
2023-01-25,False,40
2023-01-26,False,18
2023-01-27,False,22
2023-01-28,False,36
2023-01-29,True,11
2023-01-30,False,39
2023-01-31,False,20
2023-02-01,False,26
2023-02-02,False,28
2023-02-03,False,23
2023-02-04,False,24
2023-02-05,True,10
2023-02-06,False,22
2023-02-07,False,19
2023-02-08,False,39
2023-02-09,False,22
2023-02-10,False,23
2023-02-11,False,23
2023-02-12,True,8
2023-02-13,False,21
2023-02-14,False,35
2023-02-15,False,33
2023-02-16,False,38
2023-02-17,False,36
2023-02-18,False,27
2023-02-19,True,0
2023-02-20,False,22
2023-02-21,False,35
2023-02-22,False,20
2023-02-23,False,37
2023-02-24,False,21
2023-02-25,False,31
2023-02-26,True,1
2023-02-27,False,31
2023-02-28,False,22
2023-03-01,False,35
2023-03-02,False,24
2023-03-03,False,33
2023-03-04,False,20
2023-03-05,True,4
2023-03-06,False,38
2023-03-07,False,28
2023-03-08,False,35
2023-03-09,False,23
2023-03-10,False,38
2023-03-11,False,39
2023-03-12,True,4
2023-03-13,False,133
2023-03-14,False,22
2023-03-15,False,33
2023-03-16,False,20
2023-03-17,False,29
2023-03-18,False,20
2023-03-19,True,7
2023-03-20,False,32
2023-03-21,False,37
2023-03-22,False,34
2023-03-23,False,29
2023-03-24,False,19
2023-03-25,False,19
2023-03-26,True,5
2023-03-27,False,24
2023-03-28,False,31
2023-03-29,False,24
2023-03-30,False,37
2023-03-31,False,34
2023-04-01,False,41
2023-04-02,True,10
2023-04-03,False,32
2023-04-04,False,20
2023-04-05,False,23
2023-04-06,False,25
2023-04-07,False,33
2023-04-08,False,32
2023-04-09,True,9
2023-04-10,False,38
2023-04-11,False,25
2023-04-12,False,40
2023-04-13,False,25
2023-04-14,False,37
2023-04-15,False,24
2023-04-16,True,10
2023-04-17,False,41
2023-04-18,False,35
2023-04-19,False,29
2023-04-20,False,21
2023-04-21,False,31
2023-04-22,False,41
2023-04-23,True,7
2023-04-24,False,39
2023-04-25,False,37
2023-04-26,False,40
2023-04-27,False,24
2023-04-28,False,29
2023-04-29,False,32
2023-04-30,True,11
2023-05-01,False,30
2023-05-02,False,21
2023-05-03,False,23
2023-05-04,False,25
2023-05-05,False,32
2023-05-06,False,29
2023-05-07,True,10
2023-05-08,False,29
2023-05-09,False,34
2023-05-10,False,25
2023-05-11,False,19
2023-05-12,False,36
2023-05-13,False,39
2023-05-14,True,7
2023-05-15,False,39
2023-05-16,False,27
2023-05-17,False,26
2023-05-18,False,36
2023-05-19,False,29
2023-05-20,False,39
2023-05-21,True,6
2023-05-22,False,35
2023-05-23,False,41
2023-05-24,False,33
2023-05-25,False,21
2023-05-26,False,28
2023-05-27,False,39
2023-05-28,True,7
2023-05-29,False,32
2023-05-30,False,53
2023-05-31,False,19
2023-06-01,False,30
2023-06-02,False,29
2023-06-03,False,25
2023-06-04,True,2
2023-06-05,False,31
2023-06-06,False,20
2023-06-07,False,19
2023-06-08,False,34
2023-06-09,False,19
2023-06-10,False,34
2023-06-11,True,1
2023-06-12,False,19
2023-06-13,False,30
2023-06-14,False,24
2023-06-15,False,110
2023-06-16,False,26
2023-06-17,False,31
2023-06-18,True,5
2023-06-19,False,37
2023-06-20,False,36
2023-06-21,False,18
2023-06-22,False,41
2023-06-23,False,22
2023-06-24,False,40
2023-06-25,True,5
2023-06-26,False,23
2023-06-27,False,33
2023-06-28,False,37
2023-06-29,False,33
2023-06-30,False,37
2023-07-01,False,30
2023-07-02,True,1
2023-07-03,False,28
2023-07-04,False,38
2023-07-05,False,27
2023-07-06,False,34
2023-07-07,False,24
2023-07-08,False,39
2023-07-09,True,1
2023-07-10,False,34
2023-07-11,False,18
2023-07-12,False,19
2023-07-13,False,36
2023-07-14,False,18
2023-07-15,False,29
2023-07-16,True,1
2023-07-17,False,36
2023-07-18,False,40
2023-07-19,False,33
2023-07-20,False,33
2023-07-21,False,25
2023-07-22,False,30
2023-07-23,True,13
2023-07-24,False,36
2023-07-25,False,32
2023-07-26,False,32
2023-07-27,False,38
2023-07-28,False,25
2023-07-29,False,41
2023-07-30,True,9
2023-07-31,False,29
2023-08-01,False,39
2023-08-02,False,30
2023-08-03,False,33
2023-08-04,False,41
2023-08-05,False,29
2023-08-06,True,1
2023-08-07,False,32
2023-08-08,False,36
2023-08-09,False,22
2023-08-10,False,19
2023-08-11,False,110
2023-08-12,False,35
2023-08-13,True,4
2023-08-14,False,134
2023-08-15,False,27
2023-08-16,False,34
2023-08-17,False,20
2023-08-18,False,33
2023-08-19,False,35
2023-08-20,True,10
2023-08-21,False,24
2023-08-22,False,18
2023-08-23,False,24
2023-08-24,False,30
2023-08-25,False,40
2023-08-26,False,33
2023-08-27,True,9
2023-08-28,False,134
2023-08-29,False,26
2023-08-30,False,24
2023-08-31,False,40
2023-09-01,False,39
2023-09-02,False,20
2023-09-03,True,0
2023-09-04,False,18
2023-09-05,False,28
2023-09-06,False,30
2023-09-07,False,21
2023-09-08,False,27
2023-09-09,False,25
2023-09-10,True,1
2023-09-11,False,28
2023-09-12,False,22
2023-09-13,False,35
2023-09-14,False,21
2023-09-15,False,23
2023-09-16,False,41
2023-09-17,True,7
2023-09-18,False,29
2023-09-19,False,20
2023-09-20,False,25
2023-09-21,False,37
2023-09-22,False,38
2023-09-23,False,27
2023-09-24,True,4
2023-09-25,False,18
2023-09-26,False,34
2023-09-27,False,35
2023-09-28,False,26
2023-09-29,False,37
2023-09-30,False,39
2023-10-01,True,14
2023-10-02,False,34
2023-10-03,False,35
2023-10-04,False,28
2023-10-05,False,35
2023-10-06,False,21
2023-10-07,False,25
2023-10-08,True,8
2023-10-09,False,21
2023-10-10,False,25
2023-10-11,False,34
2023-10-12,False,20
2023-10-13,False,22
2023-10-14,False,22
2023-10-15,True,9
2023-10-16,False,18
2023-10-17,False,35
2023-10-18,False,41
2023-10-19,False,40
2023-10-20,False,39
2023-10-21,False,23
2023-10-22,True,3
2023-10-23,False,139
2023-10-24,False,32
2023-10-25,False,40
2023-10-26,False,26
2023-10-27,False,20
2023-10-28,False,35
2023-10-29,True,12
2023-10-30,False,34
2023-10-31,False,26
2023-11-01,False,41
2023-11-02,False,30
2023-11-03,False,25
2023-11-04,False,30
2023-11-05,True,9
2023-11-06,False,38
2023-11-07,False,29
2023-11-08,False,29
2023-11-09,False,26
2023-11-10,False,18
2023-11-11,False,38
2023-11-12,True,13
2023-11-13,False,31
2023-11-14,False,23
2023-11-15,False,33
2023-11-16,False,25
2023-11-17,False,36
2023-11-18,False,22
2023-11-19,True,1
2023-11-20,False,30
2023-11-21,False,66
2023-11-22,False,23
2023-11-23,False,34
2023-11-24,False,95
2023-11-25,False,27
2023-11-26,True,3
2023-11-27,False,34
2023-11-28,False,36
2023-11-29,False,23
2023-11-30,False,39
2023-12-01,False,32
2023-12-02,False,21
2023-12-03,True,12
2023-12-04,False,18
2023-12-05,False,35
2023-12-06,False,27
2023-12-07,False,36
2023-12-08,False,19
2023-12-09,False,34
2023-12-10,True,13
2023-12-11,False,30
2023-12-12,False,24
2023-12-13,False,37
2023-12-14,False,22
2023-12-15,False,21
2023-12-16,False,24
2023-12-17,True,13
2023-12-18,False,36
2023-12-19,False,37
2023-12-20,False,24
2023-12-21,False,30
2023-12-22,False,21
2023-12-23,False,32
2023-12-24,True,9
2023-12-25,False,35
2023-12-26,False,21
2023-12-27,False,21
2023-12-28,False,83
2023-12-29,False,39
2023-12-30,False,37
2023-12-31,True,1
